# Base database example
#
# This comma delimited file contains base codes and associated formula losses expected at start, internal, and end positions in a sequencing trajectory.
# The chemical formula column on each line supports formula arithmetic. It will perform calculations on each element prepended by + or -, as in CHO+N2-H .
#
# Columns:
# Single letter code,other name,allow at walk start,allow internal,allow at walk end,chemical formula
A,A,0,0,1,C10H13N5O4
C,C,0,0,1,C9H13N3O5
U,U,0,0,1,C9H12N2O6
G,G,0,0,1,C10H13N5O5
M,m3C/m5C/m4C,0,0,1,C10H15N3O5
Y,Cy3A,0,0,1,C39H48N7O8P
Z,Cy3C,0,0,1,C41H55N5O13P2
2,s2U/s4U,0,0,1,C9H12N2O5S1
K,BiotG,0,0,1,C28H45N8O13PS
L,Cy3U,0,0,1,C38H47N4O10P
D,D,0,0,1,C9H14N2O6
T,m5U,0,0,1,C10H14N2O6
7,m7G,0,0,1,C11H15N5O5
=,m6A,0,0,1,C11H15N5O4
V,U5oxya,0,0,1,C11H14N2O9
A,A,1,0,0,C10H13N5O4-H2-O1
C,C,1,0,0,C9H13N3O5-H2-O1
U,U,1,0,0,C9H12N2O6-H2-O1
G,G,1,0,0,C10H13N5O5-H2-O1
M,m3C/m5C/m4C,1,0,0,C10H15N3O5-H2-O1
Y,Cy3A,1,0,0,C39H48N7O8P-H2-O1
Z,Cy3C,1,0,0,C41H55N5O13P2-H2-O1
2,s2U/s4U,1,0,0,C9H12N2O5S1-H2-O1
K,BiotG,1,0,0,C28H45N8O13PS-H2-O1
L,Cy3U,1,0,0,C38H47N4O10P-H2-O1
D,D,1,0,0,C9H14N2O6-H2-O1
T,m5U,1,0,0,C10H14N2O6-H2-O1
7,m7G,1,0,0,C11H15N5O5-H2-O1
=,m6A,1,0,0,C11H15N5O4-H2-O1
V,U5oxya,1,0,0,C11H14N2O9-H2-O1
A,A,0,0,1,C10H13N5O4+P1+O3+H1
C,C,0,0,1,C9H13N3O5+P1+O3+H1
U,U,0,0,1,C9H12N2O6+P1+O3+H1
G,G,0,0,1,C10H13N5O5+P1+O3+H1
M,m3C/m5C/m4C,0,0,1,C10H15N3O5+P1+O3+H1
Y,Cy3A,0,0,1,C39H48N7O8P+P1+O3+H1
Z,Cy3C,0,0,1,C41H55N5O13P2+P1+O3+H1
2,s2U/s4U,0,0,1,C9H12N2O5S1+P1+O3+H1
K,BiotG,0,0,1,C28H45N8O13PS+P1+O3+H1
L,Cy3U,0,0,1,C38H47N4O10P+P1+O3+H1
D,D,0,0,1,C9H14N2O6+P1+O3+H1
T,m5U,0,0,1,C10H14N2O6+P1+O3+H1
7,m7G,0,0,1,C11H15N5O5+P1+O3+H1
=,m6A,0,0,1,C11H15N5O4+P1+O3+H1
V,U5oxya,0,0,1,C11H14N2O9+P1+O3+H1
A,A,1,1,0,C10H13N5O4+P1+O2-H1
C,C,1,1,0,C9H13N3O5+P1+O2-H1
U,U,1,1,0,C9H12N2O6+P1+O2-H1
G,G,1,1,0,C10H13N5O5+P1+O2-H1
M,m3C/m5C/m4C,1,1,0,C10H15N3O5+P1+O2-H1
Y,Cy3A,1,1,0,C39H48N7O8P+P1+O2-H1
Z,Cy3C,1,1,0,C41H55N5O13P2+P1+O2-H1
2,s2U/s4U,1,1,0,C9H12N2O5S1+P1+O2-H1
K,BiotG,1,1,0,C28H45N8O13PS+P1+O2-H1
L,Cy3U,1,1,0,C38H47N4O10P+P1+O2-H1
D,D,1,1,0,C9H14N2O6+P1+O2-H1
T,m5U,1,1,0,C10H14N2O6+P1+O2-H1
7,m7G,1,1,0,C11H15N5O5+P1+O2-H1
=,m6A,1,1,0,C11H15N5O4+P1+O2-H1
V,U5oxya,1,1,0,C11H14N2O9+P1+O2-H1
A,A,0,0,1,C10H13N5O4+P2+O6+H2
C,C,0,0,1,C9H13N3O5+P2+O6+H2
U,U,0,0,1,C9H12N2O6+P2+O6+H2
G,G,0,0,1,C10H13N5O5+P2+O6+H2
M,m3C/m5C/m4C,0,0,1,C10H15N3O5+P2+O6+H2
Y,Cy3A,0,0,1,C39H48N7O8P+P2+O6+H2
Z,Cy3C,0,0,1,C41H55N5O13P2+P2+O6+H2
2,s2U/s4U,0,0,1,C9H12N2O5S1+P2+O6+H2
K,BiotG,0,0,1,C28H45N8O13PS+P2+O6+H2
L,Cy3U,0,0,1,C38H47N4O10P+P2+O6+H2
D,D,0,0,1,C9H14N2O6+P2+O6+H2
T,m5U,0,0,1,C10H14N2O6+P2+O6+H2
7,m7G,0,0,1,C11H15N5O5+P2+O6+H2
=,m6A,0,0,1,C11H15N5O4+P2+O6+H2
V,U5oxya,0,0,1,C11H14N2O9+P2+O6+H2
A,A,1,0,0,C10H13N5O4+P2+O5
C,C,1,0,0,C9H13N3O5+P2+O5
U,U,1,0,0,C9H12N2O6+P2+O5
G,G,1,0,0,C10H13N5O5+P2+O5
M,m3C/m5C/m4C,1,0,0,C10H15N3O5+P2+O5
Y,Cy3A,1,0,0,C39H48N7O8P+P2+O5
Z,Cy3C,1,0,0,C41H55N5O13P2+P2+O5
2,s2U/s4U,1,0,0,C9H12N2O5S1+P2+O5
K,BiotG,1,0,0,C28H45N8O13PS+P2+O5
L,Cy3U,1,0,0,C38H47N4O10P+P2+O5
D,D,1,0,0,C9H14N2O6+P2+O5
T,m5U,1,0,0,C10H14N2O6+P2+O5
7,m7G,1,0,0,C11H15N5O5+P2+O5
=,m6A,1,0,0,C11H15N5O4+P2+O5
V,U5oxya,1,0,0,C11H14N2O9+P2+O5
