Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Score (Bio),"Diff (Bio, mDa)","Diff (Bio, ppm)",Uncertainty,Fit Score,Enzyme,Hits (Bioconfirm),Links,Seq Loc,Rule,Missed,Mods,Significance,Pred Mods,Sequence,Seq Name,Seq Type,Tgt Seq Mass,AGILENTID,CAS,Compound ID,Name,Cpd,HMP,KEGG,Label,LMP,METLIN,MPPID,NCBI ID,Notes,Swiss-Prot,Hits (DB),Mass (DB),"Diff (DB, mDa)",Formula (DB),"Diff (DB, ppm)",RT (DB),RT Diff (DB),Score (DB),Shared (DB),Unique (DB),"Diff (MFG, mDa)",Mass (MFG),Formula (MFG),"Diff (MFG, ppm)",Score (MFG),Tgt Hit Pos,Score Diff,Abund,Algorithm,Area,Avg Mass,Base Peak,Z Count,CE,MS/MS Count,File,End,Formula,FV,Height,ID Source,ID Techniques Applied,Ions,Polarity,Max Z,Min Z,Modified,Mass,Score,m/z,m/z (prod.),Quality Score,RT,Saturated,Start,Width,Library,Score (Lib),Cpds/Group,Group,Std Dev,Vol %,Vol,Primary Base,Primary Note,ADC% Area,ADC% Height,EIC/TIC% Area,EIC/TIC% Height,TIC% Area,TIC% Height,TWC% Area,TWC% Height,UVA% Area,UVA% Height,UVB% Area,UVB% Height,UVC% Area,UVC% Height,Purity Comments,Purity Result,Purity Value,FIs Conf.,FIs Conf. %,FIs Eval.,Source,"Diff (Tgt, mDa)",Formula (Tgt),"Diff (Tgt, ppm)",RT (Tgt),RT Diff (Tgt),Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),Sample Name,Sample Type,Instrument Name,Position,User Name,IRM Calibration status
,,,,,,,,,,,,,,,,,,,,,,1,,,Cpd 1: 249.9624,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,250.0108,248.9551,1,,,20140420-298.d,1.195,,,14773,,,2,Negative,-1,-1,,249.9624,,248.9551,,73.2,1.141,,0.946,0.094,,,8,1,,0.02,99780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,2,,,Cpd 2: 599.9605,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,600.6197,598.9532,1,,,20140420-298.d,1.311,,,3475,,,3,Negative,-1,-1,,599.9605,,598.9532,,100,1.144,,1.062,0.138,,,8,1,,0.01,44396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,3,,,Cpd 3: 697.9800,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,698.1455,696.9727,1,,,20140420-298.d,1.261,,,3114,,,2,Negative,-1,-1,,697.98,,696.9727,,99.4,1.146,,1.078,0.112,,,8,1,,0.01,24295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,4,,,Cpd 4: 389.9738,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,390.039,388.9665,1,,,20140420-298.d,1.277,,,38136,,,2,Negative,-1,-1,,389.9738,,388.9665,,82.1,1.151,,0.979,0.092,,,8,1,,0.05,220768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,5,,,Cpd 5: 681.9617,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,682.6283,680.9545,1,,,20140420-298.d,1.261,,,4037,,,3,Negative,-1,-1,,681.9617,,680.9545,,100,1.153,,1.062,0.113,,,8,1,,0.01,45950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,6,,,Cpd 6: 615.9885,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,616.1516,614.9812,1,,,20140420-298.d,1.294,,,3921,,,2,Negative,-1,-1,,615.9885,,614.9812,,100,1.154,,1.062,0.132,,,8,1,,0.01,35465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,7,,,Cpd 7: 319.9710,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,320.0461,318.9637,1,,,20140420-298.d,1.427,,,30481,,,3,Negative,-1,-1,,319.971,,318.9637,,100,1.154,,0.962,0.124,,,8,1,,0.05,209683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,8,,,Cpd 8: 533.9878,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,534.4007,532.9805,1,,,20140420-298.d,1.344,,,3209,,,3,Negative,-1,-1,,533.9878,,532.9805,,100,1.156,,1.062,0.151,,,8,1,,0.01,37424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,9,,,Cpd 9: 265.9990,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,266.0686,264.9918,1,,,20140420-298.d,1.41,,,8166,,,2,Negative,-1,-1,,265.999,,264.9918,,100,1.166,,1.045,0.167,,,2,2,,0.02,70886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
,,,,,,,,,,,,,,,,,,,,,,10,,,Cpd 10: 373.9766,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,374.0534,372.9693,1,,,20140420-298.d,1.46,,,4459,,,2,Negative,-1,-1,,373.9766,,372.9693,,100,1.167,,0.863,0.274,,,2,2,,0.02,74028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140420-298,Sample,Instrument 1,P1-E6,,Success
