Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Score (Bio),"Diff (Bio, mDa)","Diff (Bio, ppm)",Uncertainty,Fit Score,Enzyme,Hits (Bioconfirm),Links,Seq Loc,Rule,Missed,Mods,Significance,Pred Mods,Sequence,Seq Name,Seq Type,Tgt Seq Mass,AGILENTID,CAS,Compound ID,Name,Cpd,HMP,KEGG,Label,LMP,METLIN,MPPID,NCBI ID,Notes,Swiss-Prot,Hits (DB),Mass (DB),"Diff (DB, mDa)",Formula (DB),"Diff (DB, ppm)",RT (DB),RT Diff (DB),Score (DB),Shared (DB),Unique (DB),"Diff (MFG, mDa)",Mass (MFG),Formula (MFG),"Diff (MFG, ppm)",Score (MFG),Tgt Hit Pos,Score Diff,Abund,Algorithm,Area,Avg Mass,Base Peak,Z Count,CE,MS/MS Count,File,End,Formula,FV,Height,ID Source,ID Techniques Applied,Ions,Polarity,Max Z,Min Z,Modified,Mass,Score,m/z,m/z (prod.),Quality Score,RT,Saturated,Start,Width,Library,Score (Lib),Cpds/Group,Group,Std Dev,Vol %,Vol,Primary Base,Primary Note,ADC% Area,ADC% Height,EIC/TIC% Area,EIC/TIC% Height,TIC% Area,TIC% Height,TWC% Area,TWC% Height,UVA% Area,UVA% Height,UVB% Area,UVB% Height,UVC% Area,UVC% Height,Purity Comments,Purity Result,Purity Value,FIs Conf.,FIs Conf. %,FIs Eval.,Source,"Diff (Tgt, mDa)",Formula (Tgt),"Diff (Tgt, ppm)",RT (Tgt),RT Diff (Tgt),Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),Sample Name,Sample Type,Instrument Name,Position,User Name,IRM Calibration status
,,,,,,,,,,,,,,,,,,,,,,1,,,Cpd 1: 401.8753 1.102,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,401.937,400.868,1,,,20140404-212.d,1.247,,,6540,,,2,Negative,-1,-1,,401.8753,,400.868,,99,1.102,,0.998,0.129,,,1,1,,0.01,46946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,2,,,Cpd 2: 389.9747 1.194,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,390.0834,388.9674,1,,,20140404-212.d,1.463,,,4902,,,2,Negative,-1,-1,,389.9747,,388.9674,,100,1.194,,0.832,0.296,,,1,2,,0.01,81471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,3,,,Cpd 3: 437.9731 1.219,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,438.3593,436.9659,1,,,20140404-212.d,1.396,,,3665,,,3,Negative,-1,-1,,437.9731,,436.9659,,100,1.219,,1.081,0.165,,,1,3,,0.01,44785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,4,,,Cpd 4: 424.1203 1.297,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,424.2814,423.1131,1,,,20140404-212.d,1.429,,,3882,,,2,Negative,-1,-1,,424.1203,,423.1131,,100,1.297,,1.114,0.177,,,1,4,,0.01,54314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,5,,,Cpd 5: 342.1174 1.322,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,342.3127,341.1101,1,,,20140404-212.d,1.662,,,22850,,,3,Negative,-1,-1,,342.1174,,341.1101,,100,1.322,,1.031,0.258,,,2,5,,0.08,443893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,6,,,Cpd 6: 364.0984 1.324,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,364.2438,363.0911,1,,,20140404-212.d,1.546,,,3805,,,2,Negative,-1,-1,,364.0984,,363.0911,,100,1.324,,1.081,0.226,,,2,5,,0.01,57940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,7,,,Cpd 7: 956.9794 1.437,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,957.6663,955.9722,1,,,20140404-212.d,1.628,,,23810,,,4,Negative,-1,-1,,956.9794,,955.9722,,100,1.437,,1.247,0.169,,,1,6,,0.08,426300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,8,,,Cpd 8: 967.0073 1.501,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,967.2342,966,1,,,20140404-212.d,1.695,,,7859,,,2,Negative,-1,-1,,967.0073,,966,,100,1.501,,1.33,0.208,,,1,7,,0.03,143200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,9,,,Cpd 9: 646.0927 1.529,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,646.8146,645.0854,1,,,20140404-212.d,1.628,,,2085,,,3,Negative,-1,-1,,646.0927,,645.0854,,88.5,1.529,,1.446,0.109,,,1,8,,0.01,28419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
,,,,,,,,,,,,,,,,,,,,,,10,,,Cpd 10: 724.1063 1.576,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,724.3145,723.099,1,,,20140404-212.d,1.678,,,2424,,,2,Negative,-1,-1,,724.1063,,723.099,,76.2,1.576,,1.496,0.099,,,1,9,,0,19670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140404-212,Sample,Instrument 1,P1-E1,,Success
