Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Score (Bio),"Diff (Bio, mDa)","Diff (Bio, ppm)",Uncertainty,Fit Score,Enzyme,Hits (Bioconfirm),Links,Seq Loc,Rule,Missed,Mods,Significance,Pred Mods,Sequence,Seq Name,Seq Type,Tgt Seq Mass,AGILENTID,CAS,Compound ID,Name,Cpd,HMP,KEGG,Label,LMP,METLIN,MPPID,NCBI ID,Notes,Swiss-Prot,Hits (DB),Mass (DB),"Diff (DB, mDa)",Formula (DB),"Diff (DB, ppm)",RT (DB),RT Diff (DB),Score (DB),Shared (DB),Unique (DB),"Diff (MFG, mDa)",Mass (MFG),Formula (MFG),"Diff (MFG, ppm)",Score (MFG),Tgt Hit Pos,Score Diff,Abund,Algorithm,Area,Avg Mass,Base Peak,Z Count,CE,MS/MS Count,File,End,Formula,FV,Height,ID Source,ID Techniques Applied,Ions,Polarity,Max Z,Min Z,Modified,Mass,Score,m/z,m/z (prod.),Quality Score,RT,Saturated,Start,Width,Library,Score (Lib),Cpds/Group,Group,Std Dev,Vol %,Vol,Primary Base,Primary Note,ADC% Area,ADC% Height,EIC/TIC% Area,EIC/TIC% Height,TIC% Area,TIC% Height,TWC% Area,TWC% Height,UVA% Area,UVA% Height,UVB% Area,UVB% Height,UVC% Area,UVC% Height,Purity Comments,Purity Result,Purity Value,FIs Conf.,FIs Conf. %,FIs Eval.,Source,"Diff (Tgt, mDa)",Formula (Tgt),"Diff (Tgt, ppm)",RT (Tgt),RT Diff (Tgt),Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),Sample Name,Sample Type,Instrument Name,Position,User Name,IRM Calibration status
,,,,,,,,,,,,,,,,,,,,,,1,,,Cpd 1: 525.9651,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,526.0777,524.9578,1,,,20140429-382.d,1.297,,,3116,,,2,Negative,-1,-1,,525.9651,,524.9578,,78.2,1.134,,1.032,0.127,,,11,1,,0.01,24671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,2,,,Cpd 2: 389.9746,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,390.0379,388.9673,1,,,20140429-382.d,1.48,,,45100,,,2,Negative,-1,-1,,389.9746,,388.9673,,79.4,1.139,,0.899,0.132,,,11,1,,0.08,342833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,3,,,Cpd 3: 247.9882,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,248.0419,246.981,1,,,20140429-382.d,1.43,,,9438,,,2,Negative,-1,-1,,247.9882,,246.981,,100,1.142,,1.015,0.194,,,11,1,,0.03,108766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,4,,,Cpd 4: 355.9703,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,355.9703,710.9352,1,,,20140429-382.d,1.297,,,1219,,,2,Negative,-1,-1,,355.9703,,710.9352,,78.1,1.143,,1.048,0.133,,,11,1,0.0013,0.01,27800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,5,,,Cpd 5: 319.9717,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,320.0282,318.9644,1,,,20140429-382.d,1.48,,,33503,,,2,Negative,-1,-1,,319.9717,,318.9644,,84.4,1.144,,0.932,0.139,,,11,1,,0.07,289152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,6,,,Cpd 6: 329.9920,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,330.0718,328.9847,1,,,20140429-382.d,1.413,,,13470,,,2,Negative,-1,-1,,329.992,,328.9847,,100,1.146,,1.032,0.175,,,11,1,,0.04,150233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,7,,,Cpd 7: 437.9724,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,438.0753,436.9651,1,,,20140429-382.d,1.38,,,3167,,,2,Negative,-1,-1,,437.9724,,436.9651,,100,1.147,,1.015,0.181,,,11,1,,0.01,35304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,8,,,Cpd 8: 373.9797,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,374.0537,372.9724,1,,,20140429-382.d,1.463,,,6273,,,2,Negative,-1,-1,,373.9797,,372.9724,,99.1,1.147,,0.899,0.215,,,11,1,,0.02,76056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,9,,,Cpd 9: 411.9954,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,412.0936,410.9882,1,,,20140429-382.d,1.38,,,11233,,,2,Negative,-1,-1,,411.9954,,410.9882,,97.8,1.15,,1.032,0.161,,,11,1,,0.03,118040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
,,,,,,,,,,,,,,,,,,,,,,10,,,Cpd 10: 493.9963,,,,,,,,,,,,,,,,,,,,,,,,,Find by Molecular Feature,,494.1184,492.9891,1,,,20140429-382.d,1.33,,,5505,,,2,Negative,-1,-1,,493.9963,,492.9891,,91.3,1.155,,1.048,0.147,,,11,1,,0.01,57742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140429-382,Sample,Instrument 1,P1-E2,,Success
